FIPS	year	state	state2	county	income	population	LND010200D	region	totalvotes	candidate.democrat	candidate.republican	candidatevotes.democrat	candidatevotes.republican
13191	2000	Georgia	GA	McIntosh	18292	10948	574.53	south	3837	Al Gore	George W. Bush	2047	1766
13191	2004	Georgia	GA	McIntosh	20717	12182	574.53	south	5378	John Kerry	George W. Bush	2523	2837
13191	2008	Georgia	GA	McIntosh	22643	13973	574.53	south	6236	Barack Obama	John McCain	2905	3282
13191	2012	Georgia	GA	McIntosh	24507	13883	574.53	south	6341	Barack Obama	Mitt Romney	2864	3409
13191	2016	Georgia	GA	McIntosh	27960	14057	574.53	south	5903	Hillary Clinton	Donald Trump	2303	3487
13191	2020	Georgia	GA	McIntosh County	NA	NA	574.53	south	6696	Joshep Biden	Donald Trump	2612	4016
13193	2000	Georgia	GA	Macon	18582	14025	405.95	south	4355	Al Gore	George W. Bush	2757	1566
13193	2004	Georgia	GA	Macon	20153	14304	405.95	south	4777	John Kerry	George W. Bush	2906	1851
13193	2008	Georgia	GA	Macon	21885	14496	405.95	south	4984	Barack Obama	John McCain	3251	1712
13193	2012	Georgia	GA	Macon	25497	14301	405.95	south	4781	Barack Obama	Mitt Romney	3211	1545
13193	2016	Georgia	GA	Macon	29197	13478	405.95	south	4287	Hillary Clinton	Donald Trump	2705	1540
13193	2020	Georgia	GA	Macon County	NA	NA	405.95	south	4663	Joshep Biden	Donald Trump	2858	1783
13195	2000	Georgia	GA	Madison	23601	25800	285.57	south	7993	Al Gore	George W. Bush	2285	5529
13195	2004	Georgia	GA	Madison	26096	26859	285.57	south	9833	John Kerry	George W. Bush	2527	7254
13195	2008	Georgia	GA	Madison	27785	27820	285.57	south	11365	Barack Obama	John McCain	2965	8226
13195	2012	Georgia	GA	Madison	29850	28070	285.57	south	11104	Barack Obama	Mitt Romney	2494	8443
13195	2016	Georgia	GA	Madison	34082	28856	285.57	south	11998	Hillary Clinton	Donald Trump	2425	9201
13195	2020	Georgia	GA	Madison County	NA	NA	285.57	south	14937	Joshep Biden	Donald Trump	3411	11326
13197	2000	Georgia	GA	Marion	19986	7189	367.49	south	2184	Al Gore	George W. Bush	982	1187
13197	2004	Georgia	GA	Marion	21134	7637	367.49	south	2952	John Kerry	George W. Bush	1275	1670
13197	2008	Georgia	GA	Marion	22097	8357	367.49	south	3188	Barack Obama	John McCain	1381	1772
13197	2012	Georgia	GA	Marion	22832	8672	367.49	south	3170	Barack Obama	Mitt Romney	1412	1733
13197	2016	Georgia	GA	Marion	26384	8468	367.49	south	3190	Hillary Clinton	Donald Trump	1213	1921
13197	2020	Georgia	GA	Marion County	NA	NA	367.49	south	3625	Joshep Biden	Donald Trump	1312	2275
13199	2000	Georgia	GA	Meriwether	21546	22526	505.34	south	6709	Al Gore	George W. Bush	3441	3162
